ID;output;rec1;est1;coz1;esc1;rec2;est2;coz2;esc2;rec3;est3;coz3;esc3;rec4;est4;coz4;esc4;rec5;est5;coz5;esc5;rec6;est6;coz6;esc6
1;Oculus Rift;5;5;5;5;5;5;5;5;2;2;2;2;6;6;6;6;2;2;2;4;4;4;4;4
2;Oculus Rift;5;6;4;4;6;6;4;3;5;5;4;4;5;6;6;5;5;5;5;5;6;7;5;5
3;Monitor;2;4;2;3;3;5;2;3;6;6;3;6;2;2;1;1;6;1;3;1;2;3;2;2
4;Oculus Rift;6;6;6;5;6;6;6;5;7;7;7;7;7;7;7;7;5;5;5;5;3;3;3;3
5;Monitor;4;6;6;4;3;6;6;3;4;6;6;4;4;6;6;4;4;6;4;3;4;6;6;4
6;Oculus Rift;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;5;5;7;7;6;7
7;Monitor;3;3;3;3;3;3;3;3;2;2;2;2;4;4;4;4;3;3;3;3;3;3;3;3
8;Oculus Rift;3;4;3;3;4;3;3;3;2;2;2;2;4;4;4;4;2;3;2;3;1;1;1;1
9;Oculus Rift;5;5;4;4;5;5;4;4;5;5;4;4;4;4;4;4;5;5;4;4;5;5;4;4
10;Monitor;4;7;5;6;4;7;5;6;4;7;6;7;2;7;6;6;3;3;5;4;1;2;2;3
11;Oculus Rift;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;6
12;Monitor;6;5;6;6;6;6;6;6;7;7;7;7;1;1;1;1;6;4;7;6;4;4;7;6
13;Oculus Rift;6;6;6;6;6;5;5;6;4;4;4;4;6;6;6;6;6;6;6;6;5;5;5;5
14;Monitor;5;5;5;5;5;5;5;5;3;3;3;3;5;5;5;5;5;5;3;5;5;5;5;5
15;Oculus Rift;5;6;3;4;4;6;4;5;6;6;6;6;6;6;6;6;6;7;5;5;4;4;4;4
16;Monitor;6;6;3;6;6;6;4;6;4;5;1;6;6;6;5;6;4;6;2;5;6;6;2;6
17;Oculus Rift;6;5;6;6;6;6;6;6;6;6;6;4;6;3;6;6;6;6;6;6;2;2;2;2
18;Monitor;1;1;1;1;5;5;5;5;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1
19;Oculus Rift;3;4;2;4;4;3;2;5;5;5;5;5;5;5;5;5;4;4;4;4;1;1;1;1
20;Monitor;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;5;3;3;4;4;4;4;5;5
21;Oculus Rift;5;5;5;5;4;4;4;4;2;2;2;2;3;3;3;3;4;5;3;2;1;1;1;1
22;Monitor;5;5;5;5;3;3;3;3;2;7;4;4;2;7;4;4;3;7;4;3;3;4;3;3
23;Oculus Rift;5;5;5;5;5;5;5;5;7;6;6;6;6;5;5;5;3;3;3;3;4;4;4;4
24;Monitor;5;4;5;4;3;2;3;3;5;4;5;4;4;3;3;3;5;3;3;3;1;1;1;1
25;Oculus Rift;5;6;5;6;6;5;6;6;6;6;4;6;6;6;5;6;5;6;4;6;1;1;1;1
26;Monitor;3;2;2;3;2;1;2;2;1;1;1;1;5;5;5;5;4;3;3;4;1;1;1;1
27;Oculus Rift;6;6;6;6;5;5;5;5;7;7;7;7;7;7;7;7;5;5;5;5;2;2;2;2
28;Monitor;4;4;4;4;3;3;3;3;4;5;5;5;3;3;3;3;4;4;5;6;1;1;1;1
29;Monitor;4;3;2;2;2;2;1;1;2;1;1;1;4;4;3;2;4;2;4;3;1;1;1;1
30;Oculus Rift;6;7;6;7;6;7;5;6;6;7;5;6;5;7;5;6;4;6;4;5;5;6;5;6
31;Monitor;3;3;4;4;3;3;4;3;4;4;4;4;5;5;5;5;2;2;2;2;1;1;1;1
32;Oculus Rift;6;6;6;6;5;5;5;5;6;6;6;6;6;6;6;6;4;4;4;4;1;1;1;1
33;Monitor;5;4;4;4;4;3;3;3;3;2;6;6;4;3;3;3;5;3;5;3;4;3;3;3
34;Monitor;4;5;5;3;4;5;4;3;1;1;1;1;1;1;1;1;4;5;4;3;1;1;1;1
35;Oculus Rift;6;6;6;6;4;4;4;4;6;6;6;6;7;7;7;7;6;6;6;6;1;1;1;1
36;Monitor;4;4;4;4;4;5;4;4;6;6;6;4;5;6;5;5;5;6;5;5;2;2;2;2
37;Oculus Rift;3;5;4;5;4;4;2;3;5;6;6;5;5;5;5;5;4;4;4;4;3;3;3;3
38;Monitor;4;2;5;5;4;3;4;5;4;4;5;5;4;2;5;5;3;3;3;4;2;2;3;3
39;Oculus Rift;7;6;6;7;7;6;6;7;7;7;7;7;6;6;6;6;7;7;7;7;7;7;7;7
40;Monitor;6;5;5;6;6;6;5;6;7;6;4;5;4;4;4;4;6;6;5;5;6;5;5;4
41;DisplayWall;4;4;4;4;1;1;1;1;6;6;6;6;1;1;1;1;4;4;4;4;1;1;1;1
42;DisplayWall;3;2;4;5;3;2;3;4;3;3;4;5;3;3;3;4;4;4;4;3;2;2;2;2
43;DisplayWall;3;3;3;3;3;3;3;3;4;4;4;4;5;5;5;5;4;4;4;4;3;3;3;3
44;DisplayWall;3;4;3;3;2;3;3;4;6;2;2;5;4;4;5;6;4;7;6;6;1;6;4;5
45;DisplayWall;4;6;7;7;3;5;4;4;7;7;7;7;4;5;7;7;5;7;7;7;4;5;6;7
46;DisplayWall;5;5;2;4;4;5;3;4;4;6;2;3;4;5;1;3;4;5;2;4;2;1;1;1
47;DisplayWall;7;7;3;5;6;6;2;4;6;6;1;4;6;6;2;5;6;6;2;5;5;5;1;3
48;DisplayWall;4;5;4;3;5;4;4;3;7;7;7;7;5;5;5;5;4;4;4;4;1;1;1;1
49;DisplayWall;4;4;4;4;4;4;4;4;5;4;5;5;5;4;5;5;4;3;4;4;4;3;4;4
50;DisplayWall;7;4;6;7;7;5;7;6;1;1;1;1;3;4;5;7;6;4;6;7;6;4;5;6
51;DisplayWall;6;5;6;6;6;5;6;6;6;2;6;6;6;2;6;6;6;6;6;3;5;3;5;5
52;DisplayWall;4;4;4;4;4;4;4;4;6;6;4;6;4;4;4;4;5;5;3;5;3;3;2;3
53;DisplayWall;3;3;5;4;4;5;6;5;3;4;5;5;3;3;3;3;2;2;2;2;2;2;3;3
54;DisplayWall;4;4;4;4;3;3;3;3;4;3;5;3;3;3;3;3;5;6;6;4;1;1;1;1
55;DisplayWall;6;6;7;7;6;5;6;6;4;5;7;7;3;3;4;6;3;2;4;4;1;1;4;5
56;DisplayWall;7;7;5;4;7;7;5;6;7;6;4;4;7;7;4;5;6;5;4;5;4;7;6;2
57;DisplayWall;5;4;3;6;6;5;4;6;4;2;3;5;5;6;6;6;5;4;5;6;2;2;1;3
58;DisplayWall;5;4;3;5;5;4;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
59;DisplayWall;4;3;6;7;4;3;5;6;4;3;6;6;4;5;7;7;7;5;7;3;2;4;6;7
60;DisplayWall;5;6;6;5;5;6;6;5;2;6;2;6;6;3;3;3;6;6;6;6;2;2;2;2
61;DisplayWall;6;7;3;5;4;6;2;3;6;7;2;6;5;7;3;5;5;7;2;6;4;6;2;5
62;DisplayWall;6;5;7;4;7;7;7;4;7;7;7;5;7;4;7;7;7;7;7;5;7;7;7;6
